name,gender,start year,end year
Edmund Barton,Male,1901,1903
Alfred Deakin,Male,1903,1904
John Watson,Male,1904,1904
George Reid,Male,1904,1905
Alfred Deakin,Male,1905,1908
Andrew Fisher,Male,1908,1909
Alfred Deakin,Male,1909,1910
Andrew Fisher,Male,1910,1913
Joseph Cook,Male,1913,1914
Andrew Fisher,Male,1914,1915
Billy Hughes,Male,1915,1923
Stanley Bruce,Male,1923,1929
James Scullin,Male,1929,1932
Joseph Lyons,Male,1932,1939
Earle Page,Male,1939,1939
Robert Menzies,Male,1939,1941
Arthur Fadden,Male,1941,1941
John Curtin,Male,1941,1945
Frank Forde,Male,1945,1945
Ben Chifley,Male,1945,1949
Robert Menzies,Male,1949,1966
Harold Holt,Male,1966,1967
John McEwen,Male,1967,1968
John Gorton,Male,1968,1971
William McMahon,Male,1971,1972
Gough Whitlam,Male,1972,1975
Malcolm Fraser,Male,1975,1983
Bob Hawke,Male,1983,1991
Paul Keating,Male,1991,1996
John Howard,Male,1996,2007
Kevin Rudd,Male,2007,2010
Julia Gillard,Female,2010,2013
Kevin Rudd,Male,2013,2013
Tony Abbott,Male,2013,2015
Malcolm Turnbull,Male,2015,2018
Scott Morrison,Male,2018,2022
