name,gender,start year,end year
Leopold Figl,Male,1945,1953
Julius Raab,Male,1953,1961
Alfons Gorbach,Male,1961,1964
Josef Klaus,Male,1964,1970
Bruno Kreisky,Male,1970,1983
Fred Sinowatz,Male,1983,1986
Franz Vranitzky,Male,1986,1997
Viktor Klima,Male,1997,2000
Wolfgang Schüssel,Male,2000,2007
Alfred Gusenbauer,Male,2007,2008
Werner Faymann,Male,2008,2016
Christian Kern,Male,2016,2017
Sebastian Kurz,Male,2017,2019
Brigitte Bierlein,Female,2019,2020
Sebastian Kurz,Male,2020,2021
Alexander Schallenberg,Male,2021,2022
