name,gender,start year,end year
Tajuddin Ahmad,Male,1971,1972
Muhammad Mansur Ali,Male,1972,1975
Mujibur Rahman,Male,1975,1975
Khondaker Mostaq Ahmad,Male,1975,1975
Mujibur Rahman,Male,1975,1975
Shah Azizur Rahman,Male,1975,1981
Ataur Rahman Khan,Male,1981,1982
Abdus Sattar,Male,1982,1982
Shah Azizur Rahman,Male,1982,1982
Ataur Rahman Khan,Male,1982,1984
Moudud Ahmed,Male,1984,1988
Kazi Zafar Ahmed,Male,1988,1989
Moudud Ahmed,Male,1989,1990
Khaleda Zia,Female,1991,1996
Hasina Wazed,Female,1996,2001
Khaleda Zia,Female,2001,2006
Fakhruddin Ahmed,Male,2007,2009
Hasina Wazed,Female,2009,2022
