name,gender,start year,end year
Gaston Eyskens,Male,1949,1950
Joseph Pholien,Male,1950,1952
Jean Van Houtte,Male,1952,1954
Achille Van Acker,Male,1954,1958
Gaston Eyskens,Male,1958,1961
Théo Lefèvre,Male,1961,1965
Pierre Harmel,Male,1965,1966
Paul Vanden Boeynants,Male,1966,1968
Gaston Eyskens,Male,1968,1973
Edmond Leburton,Male,1973,1974
Leo Tindemans,Male,1974,1978
Paul Vanden Boeynants,Male,1978,1979
Wilfried Martens,Male,1979,1992
Jean-Luc Dehaene,Male,1992,1999
Guy Verhofstadt,Male,1999,2008
Yves Leterme,Male,2008,2011
Elio Di Rupo,Male,2011,2014
Charles Michel,Male,2014,2019
Sophie Wilmès,Female,2019,2020
Alexander De Croo,Male,2020,2022
