name, start year, end year
Alija Izetbegović, 1996, 2000
Jozo Križanović, 2000, 2001
Beriz Belkić, 2001, 2002
Sulejman Tihić, 2002, 2003
Dragan Čović, 2003, 2005
Ivo Miro Jović, 2005, 2006
Nebojša Radmanović, 2006, 2007
Haris Silajdžić, 2007, 2008
Željko Komšić, 2008, 2009
Nebojša Radmanović, 2009, 2010
Željko Komšić, 2010, 2011
Bakir Izetbegović, 2011, 2012
Nebojša Radmanović, 2012, 2013
Bakir Izetbegović, 2013, 2014
Mladen Ivanić, 2014, 2015
Dragan Čović, 2015, 2016
Mladen Ivanić, 2016, 2017
Dragan Čović, 2017, 2018
Milorad Dodik, 2018, 2019
Šefik Džaferović, 2019, 2020
Milorad Dodik, 2020, 2021
Šefik Džaferović, 2021, 2022
