name, start year, end year
Muhammad Shah, 1368, 1402
Ahmad, 1402, 1425
Sharif Ali, 1425, 1432
Sulaiman, 1432, 1485
Bolkiah, 1485, 1524
Abdul Kahar, 1524, 1530
Saiful Rijal, 1530, 1581
Shah Brunei, 1581, 1582
Muhammad Hassan, 1582, 1598
Abdul Jalilul Akbar, 1598, 1659
Abdul Jalilul Jabbar, 1659, 1660
Hakkul Mubin, 1660, 1673
Muhyiddin, 1673, 1690
Nasruddin, 1690, 1710
Hussein Kamaluddin, 1710, 1730
Muhammad Alauddin, 1730, 1737
Omar Ali Saifuddin I, 1740, 1795
Muhammad Tajuddin, 1795, 1807
Muhammad Jamalul Alam I, 1804, 1804
Muhammad Kanzul Alam, 1807, 1826
Omar Ali Saifuddin II, 1828, 1852
Abdul Momin, 1852, 1885
Hashim Jalilul Alam Aqamaddin, 1885, 1906
Muhammad Jamalul Alam II, 1906, 1924
Ahmad Tajuddin, 1924, 1950
Omar Ali Saifuddin III, 1950, 1967
Hassanal Bolkiah, 1967, 2022
