name,gender,start year,end year
Todor Zhivkov,Male,1962,1988
Petar Mladenov,Male,1988,1990
Andrey Lukanov,Male,1990,1991
Dimiter Popov,Male,1991,1992
Lyuben Berov,Male,1992,1994
Reneta Indzhova,Female,1994,1995
Zhan Videnov,Male,1995,1997
Stefan Sofiyanski,Male,1997,1997
Ivan Kostov,Male,1997,2001
Simeon Sakskoburggotski,Male,2001,2005
Sergei Stanishev,Male,2005,2009
Boyko Borissov,Male,2009,2013
Marin Raykov,Male,2013,2013
Plamen Oresharski,Male,2013,2014
Georgi Bliznashki,Male,2014,2014
Boyko Borissov,Male,2014,2021
Stefan Yanev,Male,2021,2022
