name,gender,start year,end year
Sir John A. Macdonald,Male,1867,1873
Alexander Mackenzie,Male,1873,1878
Sir John A. Macdonald,Male,1878,1891
Sir John Abbott,Male,1891,1892
Sir John Thompson,Male,1892,1894
Sir Mackenzie Bowell,Male,1894,1896
Sir Charles Tupper,Male,1896,1896
Sir Wilfrid Laurier,Male,1896,1911
Sir Robert Borden,Male,1911,1920
Arthur Meighen,Male,1920,1921
William Lyon Mackenzie King,Male,1921,1926
Arthur Meighen,Male,1926,1926
William Lyon Mackenzie King,Male,1926,1930
R.B. Bennett,Male,1930,1935
William Lyon Mackenzie King,Male,1935,1948
Louis St. Laurent,Male,1948,1957
John Diefenbaker,Male,1957,1963
Lester B. Pearson,Male,1963,1968
Pierre Trudeau,Male,1968,1979
Joe Clark,Male,1979,1980
Pierre Trudeau,Male,1980,1984
John Turner,Male,1984,1984
Brian Mulroney,Male,1984,1993
Kim Campbell,Female,1993,1993
Jean Chrétien,Male,1993,2003
Paul Martin,Male,2003,2006
Stephen Harper,Male,2006,2015
Justin Trudeau,Male,2015,2022
