name,gender,start year,end year
Simon Bolivar,Male,1819,1830
Francisco de Paula Santander,Male,1832,1837
Jose Ignacio de Marquez,Male,1837,1841
Pedro Alcantara Herran,Male,1841,1845
Tomas Cipriano de Mosquera,Male,1845,1849
Jose Hilario Lopez,Male,1849,1853
Jose Maria Obando,Male,1853,1854
Jose Maria Melo,Male,1854,1855
Manuel Maria Mallarino,Male,1855,1857
Mariano Ospina Rodriguez,Male,1857,1861
Bartolome Calvo,Male,1861,1861
Tomas Cipriano de Mosquera,Male,1861,1864
Manuel Murillo Toro,Male,1864,1866
Jose Maria Rojas Garrido,Male,1866,1866
Tomas Cipriano de Mosquera,Male,1866,1867
Santos Gutierrez,Male,1868,1870
Eustorgio Salgar,Male,1870,1872
Manuel Murillo Toro,Male,1872,1874
Santiago Perez,Male,1874,1876
Aquileo Parra,Male,1876,1878
Julio Arboleda,Male,1878,1882
Rafael Nunez,Male,1882,1884
Jose Eusebio Otalora,Male,1884,1886
Rafael Nunez,Male,1886,1894
Miguel Antonio Caro,Male,1894,1898
Manuel Antonio Sanclemente,Male,1898,1900
Jose Manuel Marroquin,Male,1900,1904
Rafael Reyes,Male,1904,1909
Ramón González Valencia,Male,1909,1910
Carlos Eugenio Restrepo,Male,1910,1914
Jose Vicente Concha,Male,1914,1918
Marco Fidel Suarez,Male,1918,1921
Jorge Holguin,Male,1921,1922
Pedro Nel Ospina,Male,1922,1926
Miguel Abadia Mendez,Male,1926,1930
Enrique Olaya Herrera,Male,1930,1934
Alfonso Lopez Pumarejo,Male,1934,1938
Eduardo Santos,Male,1938,1942
Alfonso Lopez Pumarejo,Male,1942,1945
Alberto Lleras Camargo,Male,1945,1946
Mariano Ospina Perez,Male,1946,1950
Laureano Gomez,Male,1950,1951
Roberto Urdaneta Arbelaez,Male,1951,1953
Gustavo Rojas Pinilla,Male,1953,1957
Gabriel Paris Gordillo,Male,1957,1958
Alberto Lleras Camargo,Male,1958,1962
Guillermo Leon Valencia,Male,1962,1966
Carlos Lleras Restrepo,Male,1966,1970
Misael Pastrana Borrero,Male,1970,1974
Alfonso Lopez Michelsen,Male,1974,1978
Julio Cesar Turbay Ayala,Male,1978,1982
Belisario Betancur,Male,1982,1986
Virgilio Barco Vargas,Male,1986,1990
Cesar Gaviria,Male,1990,1994
Ernesto Samper,Male,1994,1998
Andres Pastrana Arango,Male,1998,2002
Alvaro Uribe,Male,2002,2010
Juan Manuel Santos,Male,2010,2018
Ivan Duque Marquez,Male,2018,2022
