name,gender,start year,end year
Thorvald Stauning,Male,1924,1942
Vilhelm Buhl,Male,1942,1945
John Christmas Møller,Male,1945,1945
Vilhelm Buhl,Male,1945,1947
Hans Hedtoft,Male,1947,1950
Erik Eriksen,Male,1950,1953
Hans Hedtoft,Male,1953,1955
H.C. Hansen,Male,1955,1960
Viggo Kampmann,Male,1960,1962
Jens Otto Krag,Male,1962,1972
Anker Jørgensen,Male,1972,1973
Poul Hartling,Male,1973,1975
Anker Jørgensen,Male,1975,1982
Poul Schlüter,Male,1982,1993
Poul Nyrup Rasmussen,Male,1993,2001
Anders Fogh Rasmussen,Male,2001,2009
Lars Løkke Rasmussen,Male,2009,2011
Helle Thorning-Schmidt,Female,2011,2014
Lars Løkke Rasmussen,Male,2014,2019
Mette Frederiksen,Female,2019,2022
