name, start year, end year
Konstantinos Karamanlis, 1974, 1980
Georgios Rallis, 1980, 1981
Andreas Papandreou, 1981, 1989
Tzannis Tzannetakis, 1989, 1989
Ioannis Grivas, 1989, 1989
Xenophon Zolotas, 1989, 1990
Konstantinos Mitsotakis, 1990, 1993
Andreas Papandreou, 1993, 1996
Konstantinos Simitis, 1996, 2004
Kostas Karamanlis, 2004, 2009
George Papandreou, 2009, 2011
Lucas Papademos, 2011, 2012
Panagiotis Pikrammenos, 2012, 2012
Antonis Samaras, 2012, 2015
Alexis Tsipras, 2015, 2019
Kyriakos Mitsotakis, 2019, 2022
