name,gender,start year,end year
Francisco Mendes,Male,1973,1978
Constantino Teixeira,Male,1978,1978
João Bernardo Vieira,Male,1978,1980
Victor Saúde Maria,Male,1980,1981
Maria da Costa,Male,1981,1982
Victor Saúde Maria,Male,1982,1983
Carlos Correia,Male,1983,1984
Francisco Fadul,Male,1984,1986
Carlos Correia,Male,1986,1988
Domingos Simões Pereira,Male,1988,1991
Carlos Correia,Male,1991,1994
Manuel Saturnino da Costa,Male,1994,1997
Carlos Correia,Male,1997,1998
Francisco Fadul,Male,1998,2000
Caetano N'Tchama,Male,2000,2001
Faustino Imbali,Male,2001,2001
Alamara Nhassé,Male,2001,2002
Mario Pires,Male,2002,2003
Arthur Sanhá,Male,2003,2004
Carlos Gomes Júnior,Male,2004,2005
Aristides Gomes,Male,2005,2007
Martinho Ndafa Kabi,Male,2007,2008
Carlos Correia,Male,2008,2008
Carlos Gomes Júnior,Male,2008,2012
Rui Duarte de Barros,Male,2012,2014
Domingos Simões Pereira,Male,2014,2015
Carlos Correia,Male,2015,2016
Umaro Sissoco Embaló,Male,2016,2018
Aristides Gomes,Male,2018,2020
Nuno Gomes Nabiam,Male,2020,2021
Aristides Gomes,Male,2021,2022
