name, start year, end year
Abdul-Mahdi al-Kubaisi, 1920, 1922
Abdul-Muhsin Al-Saadoun, 1922, 1923
Jafar al-Askari, 1923, 1924
Yasin al-Hashimi, 1924, 1925
Abdul-Muhsin Al-Saadoun, 1925, 1926
Jafar al-Askari, 1926, 1928
Abdul-Muhsin Al-Saadoun, 1928, 1929
Tawfiq al-Suwaidi, 1929, 1930
Nuri al-Said, 1930, 1932
Rasheed Ali al-Gaylani, 1933, 1933
Nuri al-Said, 1934, 1935
Yasin al-Hashimi, 1935, 1936
Hikmat Sulayman, 1936, 1937
Jamal Baban, 1937, 1938
Nuri al-Said, 1938, 1940
Rashid Ali al-Gaylani, 1940, 1941
Taha al-Hashimi, 1941, 1941
Nuri al-Said, 1941, 1944
Hamdi al-Pachachi, 1944, 1946
Arshad al-Umari, 1946, 1946
Nuri al-Said, 1946, 1946
Salih Jabr, 1946, 1947
Muhammad Fadhel al-Jamali, 1953, 1954
Arshad al-Umari, 1954, 1954
Nuri al-Said, 1954, 1958
Abdul Karim Qasim, 1958, 1963
Ahmed Hassan al-Bakr, 1963, 1963
Abdul Salam Arif, 1963, 1963
Tahir Yahya, 1963, 1965
Abdul Rahman Arif, 1966, 1967
Naji Talib, 1966, 1967
Abdul Rahman Bazzaz, 1966, 1966
Tahir Yahya, 1967, 1968
Abdul Razzaq an-Naif, 1968, 1968
Ahmed Hassan al-Bakr, 1968, 1979
Saddam Hussein, 1979, 2003
Ayad Allawi, 2004, 2005
Ibrahim al-Jaafari, 2005, 2006
Nouri al-Maliki, 2006, 2014
Haider al-Abadi, 2014, 2018
Adil Abdul-Mahdi, 2018, 2020
Mustafa Al-Kadhimi, 2020, 2022
