name,gender,start year,end year
Éamon de Valera,Male,1937,1948
John A. Costello,Male,1948,1951
Éamon de Valera,Male,1951,1954
John A. Costello,Male,1954,1957
Éamon de Valera,Male,1957,1959
Seán Lemass,Male,1959,1966
Jack Lynch,Male,1966,1973
Liam Cosgrave,Male,1973,1977
Jack Lynch,Male,1977,1979
Charles Haughey,Male,1979,1981
Garret FitzGerald,Male,1981,1982
Charles Haughey,Male,1982,1982
Garret FitzGerald,Male,1982,1987
Charles Haughey,Male,1987,1992
Albert Reynolds,Male,1992,1994
John Bruton,Male,1994,1997
Bertie Ahern,Male,1997,2008
Brian Cowen,Male,2008,2011
Enda Kenny,Male,2011,2017
Leo Varadkar,Male,2017,2020
Micheál Martin,Male,2020,2022
