name,gender,start year,end year
Xavier Bettel,Male,2013,2022
Jean-Claude Juncker,Male,1995,2013
Jacques Santer,Male,1984,1995
Pierre Werner,Male,1979,1984
Gaston Thorn,Male,1974,1979
Pierre Werner,Male,1959,1974
Joseph Bech,Male,1953,1958
Pierre Dupong,Male,1937,1953
Joseph Bech,Male,1926,1937
Pierre Prüm,Male,1925,1926
Émile Reuter,Male,1925,1925
Émile Reuter,Male,1921,1925
Mathias Mongenast,Male,1915,1921
Paul Eyschen,Male,1888,1915
Édouard Thilges,Male,1885,1888
Félix de Blochausen,Male,1874,1885
Emmanuel Servais,Male,1867,1874
Victor de Tornaco,Male,1860,1867
Charles-Mathias Simons,Male,1859,1860
Jean-Jacques Willmar,Male,1848,1859
Gaspard-Théodore-Ignace de la Fontaine,Male,1848,1848
