name,gender,start year,end year
Henry Sewell,Male,1856,1856
William Fox,Male,1856,1873
Edward Stafford,Male,1856,1872
Alfred Domett,Male,1862,1863
Frederick Whitaker,Male,1863,1882
Frederick Weld,Male,1864,1865
George Waterhouse,Male,1872,1873
Julius Vogel,Male,1873,1876
Daniel Pollen,Male,1876,1876
Harry Atkinson,Male,1876,1891
George Grey,Male,1877,1879
John Hall,Male,1879,1882
Robert Stout,Male,1884,1887
John Ballance,Male,1891,1893
Richard Seddon,Male,1893,1906
William Hall-Jones,Male,1906,1906
Joseph Ward,Male,1906,1920
Thomas Mackenzie,Male,1912,1912
William Massey,Male,1912,1925
Francis Bell,Male,1925,1925
Gordon Coates,Male,1925,1928
Joseph Ward,Male,1928,1930
George Forbes,Male,1930,1935
Michael Joseph Savage,Male,1935,1940
Peter Fraser,Male,1940,1949
Sidney Holland,Male,1949,1957
Keith Holyoake,Male,1957,1972
Walter Nash,Male,1957,1960
Jack Marshall,Male,1972,1972
Norman Kirk,Male,1972,1974
Bill Rowling,Male,1974,1975
Robert Muldoon,Male,1975,1984
David Lange,Male,1984,1989
Geoffrey Palmer,Male,1989,1990
Mike Moore,Male,1990,1990
Jim Bolger,Male,1990,1997
Jenny Shipley,Female,1997,1999
Helen Clark,Female,1999,2008
John Key,Male,2008,2016
Bill English,Male,2016,2017
Jacinda Ardern,Female,2017,2022
