name,gender,start year,end year
Nnamdi Azikiwe,Male,1963,1966
Johnson Aguiyi-Ironsi,Male,1966,1966
Yakubu Gowon,Male,1966,1975
Murtala Ramat Mohammed,Male,1975,1976
Olusegun Obasanjo,Male,1976,1979
Shehu Shagari,Male,1979,1983
Muhammadu Buhari,Male,1983,1985
Ibrahim Babangida,Male,1985,1993
Ernest Shonekan,Male,1993,1993
Sani Abacha,Male,1993,1998
Abdulsalami Abubakar,Male,1998,1999
Olusegun Obasanjo,Male,1999,2007
Umaru Musa Yar'Adua,Male,2007,2010
Goodluck Jonathan,Male,2010,2015
Muhammadu Buhari,Male,2015,2022
