name,gender,start year,end year
Liaquat Ali Khan,Male,1947,1951
Khawaja Nazimuddin,Male,1951,1953
Muhammad Ali Bogra,Male,1953,1955
Chaudhry Muhammad Ali,Male,1955,1956
Huseyn Shaheed Suhrawardy,Male,1956,1957
Ibrahim Ismail Chundrigar,Male,1957,1957
Feroz Khan Noon,Male,1957,1958
Nurul Amin,Male,1971,1972
Zulfikar Ali Bhutto,Male,1973,1977
Muhammad Khan Junejo,Male,1985,1988
Benazir Bhutto,Female,1988,1990
Ghulam Mustafa Jatoi,Male,1990,1990
Nawaz Sharif,Male,1990,1993
Balakh Sher Mazari,Male,1993,1993
Nawaz Sharif,Male,1993,1993
Benazir Bhutto,Female,1993,1996
Malik Meraj Khalid,Male,1996,1997
Nawaz Sharif,Male,1997,1999
Zafarullah Khan Jamali,Male,2002,2004
Chaudhry Shujaat Hussain,Male,2004,2004
Shaukat Aziz,Male,2004,2007
Muhammad Mian Soomro,Male,2007,2008
Yousaf Raza Gillani,Male,2008,2012
Raja Pervaiz Ashraf,Male,2012,2013
Nawaz Sharif,Male,2013,2017
Shahid Khaqan Abbasi,Male,2017,2018
Imran Khan,Male,2018,2022
