name,gender,start year,end year
Emilio Aguinaldo,Male,1899,1901
Manuel L. Quezon,Male,1935,1944
Jose P. Laurel,Male,1943,1945
Sergio Osmena,Male,1944,1946
Manuel Roxas,Male,1946,1948
Elpidio Quirino,Male,1948,1953
Ramon Magsaysay,Male,1953,1957
Carlos P. Garcia,Male,1957,1961
Diosdado Macapagal,Male,1961,1965
Ferdinand Marcos,Male,1965,1986
Corazon Aquino,Female,1986,1992
Fidel V. Ramos,Male,1992,1998
Joseph Estrada,Male,1998,2001
Gloria Macapagal-Arroyo,Female,2001,2010
Benigno Aquino III,Male,2010,2016
Rodrigo Duterte,Male,2016,2022
