name,gender,start year,end year
Tadeusz Mazowiecki,Male,1989,1991
Jan Krzysztof Bielecki,Male,1991,1992
Jan Olszewski,Male,1992,1992
Waldemar Pawlak,Male,1992,1993
Hanna Suchocka,Female,1993,1993
Waldemar Pawlak,Male,1993,1995
Józef Oleksy,Male,1995,1996
Włodzimierz Cimoszewicz,Male,1996,1997
Jerzy Buzek,Male,1997,2001
Leszek Miller,Male,2001,2004
Marek Belka,Male,2004,2005
Kazimierz Marcinkiewicz,Male,2005,2006
Jarosław Kaczyński,Male,2006,2007
Donald Tusk,Male,2007,2014
Ewa Kopacz,Female,2014,2015
Beata Szydło,Female,2015,2017
Mateusz Morawiecki,Male,2017,2022
