name,gender,start year,end year
Guy Parmelin,Male,2021,2022
Simonetta Sommaruga,Female,2020,2020
Ueli Maurer,Male,2019,2019
Alain Berset,Male,2018,2018
Doris Leuthard,Female,2017,2017
Johann Schneider-Ammann,Male,2016,2016
Simonetta Sommaruga,Female,2015,2015
Didier Burkhalter,Male,2014,2014
Ueli Maurer,Male,2013,2013
Eveline Widmer-Schlumpf,Female,2012,2012
Micheline Calmy-Rey,Female,2011,2011
Doris Leuthard,Female,2010,2010
Hans-Rudolf Merz,Male,2009,2009
Pascal Couchepin,Male,2008,2008
Micheline Calmy-Rey,Female,2007,2007
Moritz Leuenberger,Male,2006,2006
Samuel Schmid,Male,2005,2005
Joseph Deiss,Male,2004,2004
Pascal Couchepin,Male,2003,2003
Kaspar Villiger,Male,2002,2002
Moritz Leuenberger,Male,2001,2001
Adolf Ogi,Male,2000,2000
Ruth Dreifuss,Female,1999,1999
Flavio Cotti,Male,1998,1998
Arnold Koller,Male,1997,1997
Jean-Pascal Delamuraz,Male,1996,1996
Kaspar Villiger,Male,1995,1995
Ruth Dreifuss,Female,1994,1994
René Felber,Male,1993,1993
Adolf Ogi,Male,1992,1992
Flavio Cotti,Male,1991,1991
Otto Stich,Male,1990,1990
Jean-Pascal Delamuraz,Male,1989,1989
Arnold Koller,Male,1988,1988
Otto Stich,Male,1987,1987
Alphons Egli,Male,1986,1986
Kurt Furgler,Male,1985,1985
Leon Schlumpf,Male,1984,1984
Pierre Aubert,Male,1983,1983
Rudolf Friedrich,Male,1982,1982
Hans Hürlimann,Male,1981,1981
Kurt Furgler,Male,1980,1980
Willi Ritschard,Male,1979,1979
Kurt Furgler,Male,1978,1978
Georges-André Chevallaz,Male,1977,1977
Pierre Graber,Male,1976,1976
Elisabeth Kopp,Female,1984,1989
