name, start year, end year
Taj al-Din al-Hasani, 1922, 1925
Muhammad Ali al-Abid, 1932, 1936
Hashim al-Atassi, 1936, 1939
Bahij al-Khatib, 1939, 1941
Khalid al-Azm, 1941, 1941
Taj al-Din al-Hasani, 1941, 1943
Jamal al-Mufti, 1943, 1943
Shukri al-Quwatli, 1943, 1949
Husni al-Za'im, 1949, 1949
Hashim al-Atassi, 1950, 1951
Fawzi Selu, 1951, 1953
Adib Shishakli, 1953, 1954
Hashim al-Atassi, 1954, 1955
Shukri al-Quwatli, 1955, 1958
Lu'ay al-Atassi, 1963, 1963
Amin al-Hafiz, 1963, 1966
Nureddin al-Atassi, 1966, 1970
Ahmad al-Khatib, 1970, 1971
Hafez al-Assad, 1971, 2000
Bashar al-Assad, 2000, 2022
