name,gender,start year,end year
Habib Bourguiba,Male,1956,1957
Bahī Ladgham,Male,1969,1970
Hédi Nouira,Male,1970,1980
Mohammed Mzali,Male,1980,1986
Rachid Sfar,Male,1986,1987
Zine El Abidine Ben Ali,Male,1987,1987
Hamed Karoui,Male,1989,1999
Mohammed Ghannouchi,Male,1999,2011
Beji Caid Essebsi,Male,2011,2011
Hamadi Jebali,Male,2011,2013
Ali Laarayedh,Male,2013,2014
Mehdi Jomaa,Male,2014,2015
Habib Essid,Male,2015,2016
Youssef Chahed,Male,2016,2020
Elyes Fakhfakh,Male,2020,2020
Hichem Mechichi,Male,2020,2021
Najla Bouden Romdhane,Female,2021,2022
