name,gender,start year,end year
Vitold Fokin,Male,1990,1992
Valentyn Symonenko,Male,1992,1992
Viktor Yushchenko,Male,1999,2001
Anatoliy Kinakh,Male,2001,2002
Viktor Yanukovych,Male,2002,2005
Yulia Tymoshenko,Female,2005,2005
Yuriy Yekhanurov,Male,2005,2006
Viktor Yanukovych,Male,2006,2007
Yulia Tymoshenko,Female,2007,2010
Mykola Azarov,Male,2010,2014
Serhiy Arbuzov,Male,2014,2014
Arseniy Yatsenyuk,Male,2014,2016
Volodymyr Groysman,Male,2016,2019
Oleksiy Honcharuk,Male,2019,2020
Denys Shmyhal,Male,2020,2022
