name,gender,start year,end year
Robert Walpole,Male,1721,1742
Spencer Compton,Male,1742,1743
Henry Pelham,Male,1743,1754
Thomas Pelham-Holles,Male,1754,1756
William Cavendish,Male,1756,1757
Thomas Pelham-Holles,Male,1757,1762
John Stuart,Male,1762,1763
George Grenville,Male,1763,1765
Charles Watson-Wentworth,Male,1765,1766
William Pitt the Elder,Male,1766,1768
Augustus FitzRoy,Male,1768,1770
Frederick North,Male,1770,1782
Charles Watson-Wentworth,Male,1782,1782
William Petty,Male,1782,1783
William Cavendish-Bentinck,Male,1783,1783
William Pitt the Younger,Male,1783,1801
Henry Addington,Male,1801,1804
William Pitt the Younger,Male,1804,1806
William Grenville,Male,1806,1807
Spencer Perceval,Male,1809,1812
Robert Banks Jenkinson,Male,1812,1827
George Canning,Male,1827,1827
Frederick John Robinson,Male,1827,1828
Arthur Wellesley,Male,1828,1830
Charles Grey,Male,1830,1834
William Lamb,Male,1834,1834
Arthur Wellesley,Male,1834,1835
William Lamb,Male,1835,1841
Robert Peel,Male,1841,1846
John Russell,Male,1846,1852
Edward Smith-Stanley,Male,1852,1852
George Hamilton-Gordon,Male,1852,1855
Henry John Temple,Male,1855,1858
Edward Smith-Stanley,Male,1858,1859
Henry John Temple,Male,1859,1865
John Russell,Male,1865,1866
Edward Smith-Stanley,Male,1866,1868
Benjamin Disraeli,Male,1868,1868
William Ewart Gladstone,Male,1868,1874
Benjamin Disraeli,Male,1874,1880
William Ewart Gladstone,Male,1880,1885
Robert Gascoyne-Cecil,Male,1885,1886
William Ewart Gladstone,Male,1886,1886
Robert Gascoyne-Cecil,Male,1886,1892
William Ewart Gladstone,Male,1892,1894
Archibald Primrose,Male,1894,1895
Robert Gascoyne-Cecil,Male,1895,1902
Arthur Balfour,Male,1902,1905
Henry Campbell-Bannerman,Male,1905,1908
Herbert Henry Asquith,Male,1908,1916
David Lloyd George,Male,1916,1922
Andrew Bonar Law,Male,1922,1923
Stanley Baldwin,Male,1923,1924
Ramsay MacDonald,Male,1924,1924
Stanley Baldwin,Male,1924,1929
Ramsay MacDonald,Male,1929,1935
Stanley Baldwin,Male,1935,1937
Neville Chamberlain,Male,1937,1940
Winston Churchill,Male,1940,1945
Clement Attlee,Male,1945,1951
Winston Churchill,Male,1951,1955
Anthony Eden,Male,1955,1957
Harold Macmillan,Male,1957,1963
Alec Douglas-Home,Male,1963,1964
Harold Wilson,Male,1964,1970
Edward Heath,Male,1970,1974
Harold Wilson,Male,1974,1976
James Callaghan,Male,1976,1979
Margaret Thatcher,Female,1979,1990
John Major,Male,1990,1997
Tony Blair,Male,1997,2007
Gordon Brown,Male,2007,2010
David Cameron,Male,2010,2016
Theresa May,Female,2016,2019
Boris Johnson,Male,2019,2022
