Name, Start of Term (Year), End of Term (Year)
Jawaharlal Nehru, 1947, 1964
Gulzarilal Nanda (Acting), 1964, 1964
Lal Bahadur Shastri, 1964, 1966
Gulzarilal Nanda (Acting), 1966, 1966
Indira Gandhi, 1966, 1977
Morarji Desai, 1977, 1979
Charan Singh, 1979, 1980
Indira Gandhi, 1980, 1984
Rajiv Gandhi, 1984, 1989
Vishwanath Pratap Singh, 1989, 1990
Chandra Shekhar, 1990, 1991
P.V. Narasimha Rao, 1991, 1996
Atal Bihari Vajpayee, 1996, 1996
H. D. Deve Gowda, 1996, 1997
I. K. Gujral, 1997, 1998
Atal Bihari Vajpayee, 1998, 2004
Manmohan Singh, 2004, 2014
Narendra Modi, 2014, Present
